,text,post_type
22,"['ห้อง', 'ว่าง', 'เช่า', 'เดือน', '3000', 'บาท', 'น้ำ', 'ไฟ', 'เลี้ยง', 'สัตว์', 'หมู่บ้านพิบูลย์', 'บางซื่อ', 'เดิน', 'มอ', 'ตึก', 'บริหาร', 'ห้อง', 'ชั้น', '3', 'ขนาด', '3535', 'เมตร', 'ระเบียง', 'ห้องน้ำ', '2', 'ห้อง', 'ชั้น', '2', 'ชั้น', '1', 'กลาง', 'ตู้', 'เย็น', '2', 'ตู้', 'เครื่อง', 'สัก', 'ผ้า', 'ครัว', 'เตา', 'ไฟฟ้า', 'เตา', 'แก๊ส', 'หม้อ', 'ทอด', 'ไมโครเวฟ', 'เลี้ยง', 'สัตว์', 'ตอน', 'หมา', '2', 'แมว', '1', 'จอด', 'รถ', 'มอไซค์', 'รถ', 'ยนต์', 'แอร์', 'เจ้าของ', 'ห้อง', 'เก่า', 'ห้อง', 'เปล่า', 'เฟอร์', '3', 'ชั้น', '5', 'นอน', '2', 'น้ำ', 'ตอน', 'บ้าน', '7', 'คน', 'ช', '3', 'ญ', '4', 'ชาย', 'หญิง', 'สนใจ', 'รายละเอียด', 'ทัก']",1
23,"['วิศวขนถ่าย', 'วัสดุqr', 'code', 'หัว', 'อะคับ', 'กลุ่มไลน์', 'สัมไม่', 'พี่', 'คน', 'คับ', 'ผม', 'ลอง', 'ติดต่อ', 'ตอบ']",3
24,"['หา', 'ก', 'ลุ่ม', 'ห้อง', 'เรียน', 'ฟิสิกส์', '2', 'sec', '30']",3
25,"['ติว', 'แมท', '1']",3
26,"['Engineering', 'KMUTNB', 'Super', 'HiTech', 'Job', 'Fair', '2023', 'หา', 'งาน', 'งง', 'จ๊อบ', 'แฟร์', 'สมัคร', 'สนใจ', 'พระจอมเกล้าพระนครเหนือ', 'ชั้น', '1', '…', 'อาคาร', '81', 'คณะวิศวกรรมศาสตร์', 'มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ', '20', 'มกราคม', '2566', 'เวลา', '09001600', 'น', 'แวะเวียน', 'สมัคร', 'ฝาก', 'Resume', 'ทำ', 'รู้จัก', 'TRCxSKW', 'KMUTNB', 'TRCxSKW', 'Super', 'Hi', 'TechJobFair', 'JobFair']",3
27,"['แนะนำ', 'ร้าน', 'ตัด', 'ช็อป', 'พี่', 'ราคา', '1000', 'ซีเรียส', 'งาน', 'เนื้อผ้า']",3
28,"['แนะนำ', 'ช่าง', 'ตรวจ', 'สภาพ', 'เครื่อง', 'จักร', 'ทำ', 'โปรเจคจบ']",3
29,"['ตู้', 'เย็น', '21', 'คิว', 'ว่าง', 'เช่า', 'เดือน', '170', 'บาท', 'หอ', 'อาทิตย์', 'เย็น', 'มัด', 'สนใจ', 'inbox', 'สอบถาม']",1
30,"['Resume', 'ตัว', 'Super', 'Resume', 'เตรียม', 'Resume', 'งาน', 'ENG', 'KMUTNB', 'Super', 'HiTech', 'Job', 'fair', '2023', 'คน', 'พลาด', 'โอกาส', 'สมัคร', 'งาน', 'โอกาส', 'สัมภาษณ์', 'งาน', 'JOBFAIR', 'ENG', 'KMUTNB', '2023', 'เตรียม', 'Super', 'Resume', 'พลาด', 'งาน', 'ดี', 'งาน', 'ปัง', 'Job', 'Fair', 'ENG', 'KMUTNB', '2023', '19', '20', 'JAN', '2023', 'เวลา', '900', '1600', 'น', 'ตึก', 'อาคาร', '81', 'คณะวิศวกรรมศาสตร์', 'มหาวิทยาลัยพระจอมเกล้าพระนครเหนือ', 'กด', 'สมัคร', 'คน', 'น', 'สมัคร', 'Super', 'Resume', 'คลิก', 'คณะ', 'เจอ', 'Job', 'Fair', 'น้า']",3
31,"['ค้า', 'บบ', 'พี่', 'น้องๆ', 'คน', 'ปริ้น', 'เอกสาร', 'เล่ม', 'รายงาน', 'ใบ', 'งาน', 'บริการ', 'น้า', 'ทัก', 'บ']",1
32,"['หา', 'คน', 'ติวแมท', '2', 'ฟิ', '2']",3
33,"['ทำ', 'ตก', 'บ่อเต่า', 'ฝาก', 'ป้อม', 'ยาม']",0
34,"['ผ่อนผัน', 'ทหาร', 'ยื่น', 'ไหม']",3
35,"['แนะนำ', 'เรียน']",3
36,"['รบกวน', 'สอบถาม', 'พี่', 'คณะ', 'สถาปัตย์', 'ติด', 'สัมภาษณ์', 'สาขา', 'IDMB', 'ปรึกษา', 'เรื่อง', 'สอบ', 'สัมภาษณ์']",3
37,"['ติว', 'ฟิ', '2ม', 'ั้ย']",3
38,"['หา', 'สัญญา', 'หอ', 'S9', 'รีบ', 'เดือน']",3
39,"['หา', 'หอใกล้', 'มอ', '60006500', 'เดิน', 'มอ']",3
40,"['สมัคร', 'ค่าย', 'น้า', 'คณะ', 'กด', 'ลิงก์']",3
41,"['หา', 'รูม', 'เมท', 'ตอน', 'ห้อง', 'สนใจ', 'หา', 'ลอง', 'ทัก', 'คุย', 'รายละเอียด', 'ห้อง', 'ขอบคุณ', 'lgbtq']",3
42,"['สอบถาม', 'รุ่น', 'พี่', 'CvET', 'สังคม', 'เรียน', 'ติด', 'รอบ', 'โควต้า']",3
43,"['หา', 'ห้อง', 'พัก', 'โรง', 'แรม', 'ห้อง', 'ดี', 'แถว', 'มอ']",3
44,"['ช้วย', 'แนะนำ', 'หอ', '3500', 'ค้าบ']",3
45,"['กระเป๋า', 'ตัง', 'สี', 'เทา', 'ตก', 'ห้อง', '89503', 'บัตร', 'ชื่อ', 'พลอยไพลิน']",0
46,"['ขาย', 'พัดลม', 'M', '2', 'ใบ', '12', 'สี', 'พีช', 'แกะ', 'กล่อง', 'ราคา', '500', 'บาท', 'นัด', 'มอ', 'มอ']",1
47,"['Apple', 'pencil', 'gen', '1', 'ทำ', 'หาย', 'รบกวน', 'แจ้ง', 'เวลา', 'สถานที่', 'ลักษณะ', 'Apple', 'pencil', 'ทำ', 'หาย', 'คืน']",0
48,"['มอ', 'ซอย', '11', 'ร้าน', 'เย็บ', 'เสื้อผ้า']",3
49,"['เจอ', 'หูฟัง', 'marshall', 'หาย', 'นึง', 'ติดต่อ', 'น้า', 'บริเวณ', 'คาด', 'ตก', 'โรงอาหาร', 'Ustore', 'สนาม', 'ลอยฟ้า', 'คณะ', 'สถาปัต', 'ขอบพระคุณ']",0
50,"['คณะ', 'สถาปัตยกรรมศาสตร์', 'โอเค', 'ไหม', 'พี่', 'คน', 'รู้', 'พอรี', 'วิว', 'งับ']",3
51,"['เครื่อง', 'เล', 'ข', 'งับ', '฿', '450', 'นัด', 'มอ', 'งับ']",1
52,"['แถว', 'มอ', 'ร้าน', 'ถ่าน', 'นาฬิกา', 'ข้อ', 'มือ']",3
53,"['เช่า', 'คอนโด', 'รีเจ้นท์', 'บางซ่อน', 'เฟส', '27', 'ห่าง', '300', 'ม', 'mrt', 'ซ่อน', 'ขนาด', '28', 'ตรม', 'สัญญา', '1', 'ปี', 'มัด', '2', 'เดือน', 'เช่า', '6500', 'บาท', 'เดือน', 'ตู้', 'เย็น', 'เครื่อง', 'ซัก', 'ผ้า', 'จอด', 'รถ', 'ไฟ', 'จ่าย', 'ไฟฟ้า', 'น้ำ', '18', 'บาท', 'หน่วย', 'โทร', 'line', '0892004894']",1
54,"['รู้', 'มจพ', 'ชมรม', 'ชมรม', 'ม', 'ตอน']",3
55,"['ขาย', 'เครื่อง', 'คิดเลข', 'deli', 'd', '82es', 'plus', 'ราคา', 'เดิม', '599', 'ลด', '400', 'บาท']",1
56,"['AirPods', 'Jame', 'งือ', 'อ', 'ใส่', 'เคส', 'ใส่', 'พวง', 'กุญแจ', 'สี', 'แดง']",0
57,"['องค์การ', 'ศึกษา', 'สภา', 'ศึกษา', 'ทำ']",3
58,"['อนุญาต', 'ฝาก', 'ร้าน', 'เบเกอรี่', 'บอร์ด', 'เกม', 'ร้าน', 'NooM', 'bakery', 'x', 'BOARDY', 'boardgame', 'ร้าน', 'หอสตรี', 'บ้านสราญสุข', 'ร้าน', 'เขียว', 'เก่า', 'ร้าน', 'ขาย', 'เบเกอรี่', 'โฮมเมด', 'อบสด', 'เมนู', 'เค้ก', 'อนาคต', 'ขนม', 'ปัง', 'ขนม', 'หลากหลาย', 'ราคา', 'เลือก', 'ซื้อ', '2090', 'บาท', 'บอร์ด', 'เกม', 'เลือก', 'เล่น', '90', 'เกม', 'เล่น', 'เกม', 'คน', 'สอน', 'เล่น', 'น้า', 'บริการ', '25', 'บาท', 'คน', 'ชั่วโมง', 'โปรโมชั่น', '4', 'จ่าย', '3', 'แวะเวียน', 'นั่ง', 'กิน', 'ขนม', 'เล่น', 'เกม', 'น้า', 'ร้าน', 'น้ำ', 'ขาย', 'น้ำ', 'ข้าว', 'ทาน', 'เพจ', 'ร้าน', 'ขนม', 'NooM', 'Homemade', 'Bakery', 'เพจ', 'ร้าน', 'บอร์ด', 'เกม', 'Boardgames', 'cafe']",1
59,"['สอบถาม', 'รู้', 'โดน', 'รีไทร์', 'ดู', 'เลข', 'เกรด', 'เฉลี่ย', 'สะสม', 'klogic', 'ปะ', 'คำนวณ']",3
60,"['สอบถาม', 'ยีราฟ', 'แก้', 'ซื้อ', 'พรุ่ง', 'ขอบคุณ']",3
61,"['หา', 'เครื่อง', 'คิดเลข', 'CASIO', 'รุ่น', 'fx', '991', 'EX', 'ราคา', 'เบา', 'ขอบคุณ', 'ล่วงหน้า']",3
62,"['มอ', 'เช่า', 'จอด', 'รถ', 'ยนต์', 'วัด']",3
63,"['มอ', 'ร้าน', 'เย็บ', 'ผ้า', 'ไหม']",3
64,"['วิศวะ', 'โลจิสติกส์', 'ประจำ', 'ตึก', 'หรอ']",3
65,"['สอบถาม', 'รุ่น', 'พี่', 'Itbl', 'การเรียนการสอน', 'สังคม', 'คณะ']",3
66,"['หา', 'บ้าน', 'เช่า', 'สิริน', '15000', 'เดือน']",3
67,"['ขาย', 'ประกัน', 'หอ', 'ตู้', 'เย็น', '6000', 'เช่า', 'เดือน', '5000', 'จ่าย', '11000', 'ตู้', 'เย็น', 'น้ำ', 'หน่วย', '18', 'ไฟ', '8', 'สอบถาม']",1
68,"['สอบถาม', 'เรื่อง', 'ทุน', 'ศึกษา', 'คณะครุศาสตร์', 'ปี', 'ศึกษา', '12565', 'ศึกษา', 'กู้', 'กยศ', 'ทุน', 'ยื่น', 'เอกสาร', 'ยื่น', 'มอ', 'รอ', 'มอดำเนิน', 'สงสัย']",3
69,"['ปล่อย', 'เช่า', 'แนะนำ', 'ห้อง', 'ว่าง', 'ราคา', '6000', 'บาท', 'เดือน', 'เครื่อง', 'ไฟฟ้า', 'แอร์', 'ตู้', 'เย็น', 'ไมโครเวฟ', 'เครื่อง', 'ทำ', 'น้ำ', 'อุ่น', 'ราคา', '6000', 'บาท', 'เดือน', 'เช่า', 'ล่วงหน้า', '1', 'เดือน', 'ประกัน', '1', 'เดือน', 'ทำ', 'สัญญา', '1', 'ปี', 'สนใจ', 'inbox', 'โทร', '0865520057', 'อำนวย', 'สะดวก', 'โครงการ', 'รถ', 'ตู้', 'บริการ', 'หน้ามพระนครเหนือ', 'fitness', 'สระ', 'ว่าย', 'น้ำ', 'สนาม', 'กีฬา', 'พื้นที่', 'อเนกประสงค์', 'ห้อง', 'สมุด', 'กลาง', 'น้ำจ่าย', 'โครงการ', 'ไฟ', 'จ่าย', 'มิเตอร์', 'ไฟฟ้า']",1
70,"['เจอ', 'แฟ้ม', 'สนาม', 'ฟุตบอล', 'ฝาก', 'ยาม']",0
71,"['หา', 'คอนโด', 'จอด', 'รถ', 'เดินทาง', 'มามหาลัย', 'สะดวก', 'mrt']",3
72,"['ไอแพด', 'ลืม', 'ห้อง', 'ปฏิบัติการ', 'ฟิสิกส์', 'แล็ปฟิสิกส์', 'พรุ่ง', '0800', 'น']",0
73,"['แนะนำ', 'สอบ', 'สัมภาษณ์', 'รุ่น', 'พี่', 'Bibla', 'บริหาร', 'โลจิสติกส์', 'ค้า']",3
74,"['แนะนำ', 'หนังสือ', 'อ่าน', 'สอบ', 'สอบ', 'วทอ', 'ชื่อ', 'วิชา', 'ทฤษฏี', 'ไฟฟ้า', 'อิเล็กทรอนิกส์', 'อ่าน', 'ไฟฟ้า', 'อิเล็กทรอนิกส์']",3
75,"['ท่าน', 'ใด', 'ลืม', 'กุญแจ', 'รถ', 'ลาน', 'มะเร็ง', 'วทอ', 'ติดต่อ', 'ป้อม', 'ยาม', 'หน้า', 'ตึก', 'สถาปัตย์']",0
76,"['port', 'รอบ', '2', 'ประกาศ', 'รอบ', 'สัมภาษณ์', 'กี่', 'โมง', 'หรอคะ']",3
77,"['ขาย', 'สัญญา', 'หอ', 'Place', 'ขาย', 'สัญญา', 'ห้อง', '15000', 'บาท', 'คืน', '10000', 'บาท', 'เดือน', 'กุมภาพันธ์', 'ห้อง', '26', 'ตรม', 'ชั้น', '2', 'ห้อง', 'เดือน', '6500', 'บาท', 'น้ำหน่วย', '18', 'บาท', 'ไฟ', 'หน่วย', '8', 'บาท', 'เฟอร์นิเจอร์บิ้วท์', 'อิน', 'ตู้', 'เย็น', 'ทีวี', '42', 'นิ้ว', 'นอน', '6', 'ฟุต', 'นอน', 'internet', 'wifi', '4', 'user', 'ฟรี', 'เครื่อง', 'ทำ', 'อุ่น', 'ห้องน้ำ', 'แยก', 'โซน', 'เปียก', 'แห้ง', 'ปลั้ก', 'ห้อง', 'ลิฟต์', 'ประตู', 'เข้าหอคีย์การ์ด', 'กุญแจ', '2', 'ดอก', '2', 'ใบ', 'เงิน', 'ตู้', 'ซัก', 'ผ้า', 'หยอด', 'เหรียญ', 'ตู้', 'กด', 'น้ำ', 'ฟิตเนส', 'ชั้น', '6', 'ล่าง', 'ร้าน', 'กาแฟ', 'ร้าน', 'อาหาร', 'ติด', 'ซุ่มคาเฟ', 'สะดวก', 'เวลา', 'อ่าน', 'หนังสือ', '711', 'หอ', 'เลี้ยง', 'สัตว์']",1
78,"['หา', 'กลุ่มไลน์', 'สถาปัตย์', 'เซรามิกส์', 'dek', '65']",3
79,"['มอ', 'ร้าน', 'ขาย', 'ข้าวคลุก', 'กะปิ']",1
80,"['อนุญาต', 'โพสต์', 'แก้', 'หา', 'ยีราฟ', 'เชิญ', 'ออเดอร์', 'น้า', 'ยีราฟ', 'ตัว', '75', 'บาท', 'ราคา', 'ราคา', 'โรง', 'ปั้น', 'ตอน', 'ทัก', 'คุย', 'ราคา', 'สมหวัง', 'ยินดี', 'น้า', 'สม', 'หวัง', 'ค้า', 'สนใจ', 'Inbox', 'สอบถาม', 'นัด', 'มจพ', '4', 'กค', 'FBsirirat', 'FBปูน', 'ปั้น', 'ยีราฟ', 'นัด', 'มจพ', 'IGmjpukpikshop']",1
81,"['อนุญาต', 'แอดมิน', 'ย้าย', 'หอ', 'ขน', 'สนใจ', 'สอบถาม', 'ถุง', 'ผ้า', 'ห่ม', '25', 'บาท', 'เครื่อง', 'พ่น', 'อโรม่า', 'xiaomi', 'น้ำมัน', 'หอม', '350', 'บาท', 'ชั้น', 'วาง', 'คอม', '150', 'บาท', 'เคส', 'iPad', 'den', '78', '100', 'บาท', 'กีตาร์', 'โปร่ง', 'ไฟฟ้า', 'ขา', 'ไฟฟ้า', '6000', 'บาท', 'เตา', 'ไฟฟ้า', '300', 'บาท', 'เคส', 'AirPod', 'Pro', '25', 'บาท', 'เคส', 'Ipad', 'Gen', '89', '70', 'บาท', 'ตัว', 'ไม้', 'กวาด', 'ไม้', 'พื้น', '10', 'บาท', 'เสื้อ', 'ไหม', 'พรหมคาดิแกน', 'สี', 'รุ้ง', '250', 'บาท', 'เสื้อ', 'สเวตเตอร์', 'ไหม', 'พรหมคาดิแกน', 'กระเป๋า', 'สะพาย', 'น้องหมี', '300', 'บาท', 'หนังสือ', '20', 'บาท', 'เมาส์', '400', 'บาท', 'คีย์บอร์ด', 'เกม', 'มิ่ง', '1200', 'บาท', 'สายชาร์จZMI', 'usb', 'typy', 'c', '200', 'บาท', 'สายชาร์จไอโฟน', 'ZMI', 'usb', 'lightning', 'หัวชาร์จ', '500', 'บาท', 'ไหม', 'ขัดฟัน', '20', 'บาท', 'เคส', 'iPhone', '13', 'ชิ้น', '20', 'บาท', 'หัว', 'ก๊อก', 'น้ำ', '20', 'บาท', 'หลอด', 'ไฟ', '10', 'บาท', 'กระเป๋า', 'Mumuso', '50', 'บาท', 'เคส', 'IPhone', '7', '20', 'บาท', 'ลิ้นชัก', 'ขนาด', 'A', '6', '100', 'บาท', 'ราคา', 'ต่ำ', 'รูป', 'ย้าย', 'รีบ', 'ปล่อย', 'ทุน']",1
82,"['อนุญาต', 'ตอน', 'ห้อง', 'หลุด', 'จอง', 'สนใจ', 'ติดต่อ', 'ราคา', '5300', 'บาท', 'เดือน']",0
83,"['เครื่อง', 'เลข', 'รุ่น', '991', 'es', 'ไหม', 'รุ่น', 'เมทริกซ์', '44']",3
84,"['ห้องน้ำ', 'ชั้น', '6', 'ตึก', '72', 'คอร์ดแบต', 'ปรับปรุง', 'เหรอ', 'ห้องน้ำ', 'ห้อง', 'เจอ', 'ศึก', 'บุก', 'ร้อง']",3
85,"['จบ', 'ฟิสิกส์', 'ประยุกต์', 'ฝึก', 'งาน', 'ดี']",3
86,"['ปล่อย', 'สัญญา', '220166', 'สัญญา', '1', 'ปี', 'เช่า', '5900', 'บาท', 'เดือน', 'กลาง', 'ไฟ', 'ไฟฟ้า', 'น้ำ', 'จอด', 'รถ', '1', 'คัน', 'จอด', 'รถ', 'ยนต์', '300', 'บาท', 'เดือน', 'มอเตอร์ไซค์', '50', 'บาท', 'เดือน', 'ขนาด', 'ห้อง', '23', 'ตรม', 'ชั้น', '7', 'ตึก', 'A', 'ห้อง', 'วิว', 'โล่ง', '1', 'ห้อง', 'นอน', '1', 'ห้องน้ำ', 'แอร์', '1', 'ทีวี', 'ตู้', 'เย็น', 'ตู้', 'เสื้อผ้า', 'โซฟา', 'เตียง', 'นอน', 'พื้นที่', 'กลาง', 'อำนวย', 'สะดวก', 'สระ', 'ว่าย', 'น้ำ', 'ฟิตเนส', 'สวน', 'พักผ่อน', 'สนามบาส', 'ห้อง', 'สัน', 'ทนาการ', 'เด็ก', 'ห้อง', 'สมุด', 'รปภ', '24', 'ชั่วโมง', 'จอด', 'รถ', 'ระบบ', 'คีย์การ์ด', 'กล้อง', 'วงจรปิด', 'ร้าน', 'สะดวก', 'ซื้อ', '711', 'เครื่อง', 'ซัก', 'ผ้า', 'ตู้', 'กด', 'น้ำ', 'หยอด', 'เหรียญ', 'รถ', 'ตู้', 'หน้า', 'พระจอมเกล้าพระนครเหนือ', 'สถานที่', 'ใกล้เคียง', 'บิ๊กซีติวานนท์', 'ออนติวานนท์', 'สุกี้', 'ตี๋', 'รถ', 'ไฟฟ้า', 'สาย', 'สี', 'ม่วง', 'สถานีแยกติวานนท์', 'เงื่อนไข', 'เช่า', 'เช่า', '5900', 'บเดือน', 'ประกัน', '2', 'เดือน', 'สัญญา', 'คืน', 'ล่วงหน้า', '1', 'เดือน', 'สัญญา', '1', 'ปี', 'ติดต่อ', 'ดู', 'ห้อง', 'เบอร์', '0945497774', 'visawapor', '28', 'INBOX']",1
87,"['ยาม', 'มอ', 'มากมั้ย', 'อะ', 'พ่อ', 'แม่', 'พี่', 'ชาย', 'คน', 'พ่อแม่', 'อะ', 'พ่อ', 'ตจว', 'แม่', 'ทำ', 'งาน', 'ปสด', 'เว่อ']",3
88,"['มมี', 'ห้อง', 'สำหรับ', 'เล่น', 'ซ้อม', 'ดนตรี', 'สากล', 'ป่าว', 'สำหรับ', 'นศ', 'ทั่วไป']",3
89,"['ร้าน', 'Happy', 'ice', 'cream', 'มอ', 'มจพ', 'โครงการ', 'วิน', 'มอไซร์', 'โปรโมชั่น', 'ตอน', 'ร้าน', 'ไอครีม', 'size', 'M', '29', '฿', 'ไอครีม', 'size', 'L', '35', '฿', 'ฟรีTopping', '1', 'พิเศษ', 'topping', 'ชนิด', '5', 'บาท', 'ตัก', 'ร้าน', 'M', '1030', '1900', 'T', '1600', '1900', 'W', '10301900', 'Th', '1030', '1300', '1600', '1900', 'F', '10301900', 'Linetunzzz']",1
90,"['สอบถาม', 'รหัส', 'msteam', 'วิชา', 'แมททีเรียล', 'วทอ', 'Sec', '7']",3
91,"['สอบถาม', 'เอกสาร', 'เบิก', 'เทอม', 'ปี', '58', '63']",3
92,"['แถว', 'มอ', 'ร้าน', 'ถ่าย', 'รูป', 'ศึกษา', 'ทำ', 'บัตร']",3
93,"['หาหอ', '23', 'คน', 'เตียง', 'คู่', 'มอ', 'งบ', '40007000']",3
94,"['หา', 'หอพัก', 'มครับ', 'งบ', '3000', 'เฟอร์', 'รูป']",3
95,"['รบกวน', 'นิดนึง', 'เรื่อง', 'ดูดพอต', 'มอ', 'มอ', 'ดูด', 'ปกติ', 'รบกวน', 'มารยาท', 'นิดนึง', 'คน', 'สูบ', 'สบายใจ', 'ควัน', 'ใด', 'มารยาท', 'พื้นที่', 'สาธารณะ', 'คน', 'เคารพ', 'อ่ะ', 'อดทน', 'สูบ', 'พื้นที่', 'ตัว', 'ตัว', 'สบายใจ', 'เดิน', 'ชอบ', 'คน', 'สูบ', 'เพื่อน', 'สูบ', 'ปกติ', 'เคารพ', 'นิดนึง', 'พื้นที่', 'สาธารณะ', 'ขอบคุณ']",3
96,"['รุ่น', 'พี่', 'CE', 'แนะนำ', 'เรียน', 'สังคม', 'ชีวิต', 'เรียน', 'เก่ง', 'รอด']",3
97,"['Iphone', 'ทิ้ง', 'ห้องน้ำ', 'ชาย', 'ฝาก', 'ป้อม', 'ยาม']",0
98,"['แอร์พอต', 'เจน', '2', 'ขวา', 'ร่วง', 'มอบ้าง', 'ไหม', 'บริเวณ', 'ตึกถาปัตย์', 'หน้า', 'มอ', 'ตอน', 'ซ้าย', 'เจอ', 'ib', 'ติดต่อ', 'เบอร์โทร', '0960654267']",0
99,"['สอบถาม', 'วิชา', 'เสรี', 'science', 'daily', 'life', 'สอบ', 'กลาง', 'รึป่าว']",3
